CommodityID,Month-year,Wholesale Price Index,Inflation (CPI) %
CD49,2017-09-01,154.0,1.82
CD64,2020-10-01,121.9,0.99
CD52,2015-13-01,102.0,1.98
CD100,2018-08-01,129.4,1.06
CD55,2018-08-01,110.4,1.79
CD6,2020-12-01,134.6,1.97
CD47,2012-12-01,144.1,1.07
CD56,2019-07-01,113.8,0.82
CD103,2012-04-01,120.4,0.6
CD106,2017-06-01,112.3,1.34
CD43,2016-05-01,133.6,0.76
CD62,2019-09-01,104.5,1.09
CD26,2012-07-01,157.3,0.54
CD129,2012-06-01,139.3,1.3
CD77,2017-11-01,159.7,0.03
CD80,2012-08-01,105.8,0.29
CD98,2014-02-01,118.2,1.86
CD25,2020-10-01,144.2,1.17
CD43,2014-11-01,122.5,0.5
CD1,2016-13-01,143.9,0.15
CD132,2020-12-01,131.4,0.47
CD109,2020-05-01,114.4,0.73
CD53,2016-10-01,154.0,1.67
CD101,2014-06-01,110.8,0.71
CD29,2017-01-01,104.2,1.91
CD46,2017-10-01,119.6,0.92
CD40,2015-08-01,99.5,0.79
CD25,2018-04-01,125.0,0.08
CD83,2016-12-01,160.3,1.61
CD95,2019-10-01,144.6,0.63
CD6,2018-08-01,114.5,0.28
CD21,2018-10-01,149.8,1.43
CD98,2012-10-01,138.9,0.46
CD124,2020-10-01,119.6,1.57
CD73,2016-01-01,123.3,0.7
CD64,2014-10-01,103.2,0.09
CD46,2017-07-01,156.2,0.27
CD14,2014-09-01,90.5,0.13
CD51,2014-13-01,118.0,1.69
CD39,2018-02-01,113.9,1.44
CD99,2017-11-01,116.9,0.57
CD111,2018-13-01,123.8,0.07
CD108,2018-08-01,110.0,1.34
CD104,2016-05-01,117.1,0.58
CD61,2012-11-01,148.7,0.27
CD88,2016-02-01,117.5,0.8
CD37,2012-10-01,101.7,0.47
CD48,2020-10-01,161.0,0.86
CD131,2016-09-01,114.5,0.91
CD109,2019-09-01,116.7,0.16
CD56,2018-01-01,102.0,1.19
CD20,2018-02-01,93.0,0.18
CD27,2018-05-01,155.9,1.04
CD100,2015-05-01,107.0,1.34
CD89,2019-02-01,104.0,0.58
CD126,2012-05-01,96.5,1.02
CD39,2014-13-01,90.4,1.93
CD75,2015-09-01,124.5,1.7
CD13,2020-10-01,161.9,0.08
CD100,2014-10-01,148.3,0.14
CD98,2019-07-01,110.0,0.96
CD20,2019-09-01,109.8,1.69
CD132,2018-12-01,141.5,0.71
CD139,2014-05-01,94.6,0.57
CD67,2016-08-01,119.7,1.5
CD135,2018-05-01,134.3,0.77
CD66,2016-13-01,147.0,1.45
CD123,2020-12-01,133.8,0.92
CD98,2014-13-01,99.2,0.69
CD101,2018-11-01,137.3,1.84
CD127,2019-07-01,99.9,0.2
CD79,2018-06-01,138.8,1.45
CD12,2016-01-01,142.8,1.72
CD130,2016-11-01,149.2,0.43
CD122,2015-10-01,121.9,0.23
CD112,2016-10-01,99.7,1.37
CD103,2012-08-01,145.5,0.28
CD44,2020-10-01,91.7,1.17
CD122,2015-08-01,110.4,0.95
CD131,2017-04-01,160.9,1.78
CD41,2016-13-01,136.9,0.73
CD75,2015-10-01,119.3,1.19
CD59,2020-05-01,142.9,1.69
CD101,2019-12-01,95.0,1.13
CD131,2014-12-01,118.2,1.77
CD77,2014-08-01,140.0,0.12
CD100,2012-06-01,156.9,1.17
CD122,2016-12-01,110.5,1.96
CD142,2014-04-01,142.6,0.66
CD113,2020-04-01,93.0,1.06
CD66,2017-09-01,93.7,0.05
CD114,2019-12-01,137.5,1.87
CD139,2016-04-01,115.6,0.66
CD31,2018-07-01,109.3,0.11
CD10,2020-04-01,103.2,1.41
CD46,2016-10-01,143.9,1.16
CD73,2019-06-01,94.2,1.63
CD24,2014-11-01,98.3,0.3
CD15,2015-04-01,106.0,1.76
CD64,2014-06-01,90.6,1.0
CD128,2019-01-01,149.2,1.9
CD101,2019-02-01,112.7,0.34
CD101,2018-08-01,132.7,0.41
CD100,2014-05-01,91.5,1.41
CD8,2019-11-01,95.7,0.02
CD57,2019-04-01,110.8,1.37
CD75,2014-09-01,95.8,0.53
CD116,2017-10-01,93.9,0.91
CD34,2018-02-01,124.7,1.34
CD91,2016-02-01,132.5,1.33
CD105,2016-06-01,143.3,0.31
CD27,2018-07-01,132.6,0.83
CD117,2019-06-01,122.1,1.67
CD97,2020-12-01,127.5,0.69
CD64,2012-13-01,136.9,1.35
CD71,2013-02-01,147.7,1.4
CD88,2018-05-01,117.9,0.98
CD26,2016-06-01,150.1,1.47
CD17,2020-05-01,144.4,1.58
CD73,2020-12-01,124.5,0.15
CD139,2014-06-01,144.4,0.06
CD95,2019-11-01,140.3,0.7
CD77,2014-02-01,109.2,0.2
CD123,2018-06-01,99.8,1.17
CD112,2012-10-01,156.0,1.13
CD139,2015-08-01,108.4,0.69
CD28,2012-10-01,109.9,1.57
CD36,2018-01-01,156.0,0.15
CD90,2020-02-01,149.8,0.03
CD117,2018-01-01,153.0,0.32
CD92,2019-09-01,120.1,0.35
CD77,2014-08-01,95.3,0.66
CD138,2016-05-01,157.8,1.79
CD77,2017-07-01,150.2,0.17
CD84,2015-06-01,108.2,0.24
CD128,2015-02-01,154.2,0.61
CD109,2014-05-01,101.7,0.19
CD96,2019-12-01,127.3,1.78
CD62,2017-10-01,131.2,1.36
CD32,2017-07-01,106.6,1.13
CD108,2014-12-01,153.1,1.58
CD43,2012-10-01,116.7,1.75
CD83,2016-11-01,112.1,1.62
CD66,2016-13-01,106.7,0.92
CD93,2017-05-01,105.6,0.12
CD15,2013-02-01,109.4,0.14
CD14,2013-01-01,161.3,0.77
CD133,2017-13-01,161.6,1.71
CD22,2015-04-01,118.6,1.65
CD107,2016-01-01,156.7,0.98
CD19,2017-04-01,104.7,1.21
CD105,2017-01-01,154.9,0.24
CD55,2019-07-01,103.4,1.81
CD74,2019-04-01,97.6,1.17
CD100,2018-05-01,119.8,1.54
CD2,2017-07-01,155.7,0.76
CD1,2014-06-01,155.1,0.09
CD8,2012-12-01,120.4,0.3
CD51,2020-08-01,135.0,0.58
CD21,2017-05-01,136.1,1.42
CD46,2012-11-01,150.8,1.58
CD132,2017-07-01,125.1,0.3
CD49,2017-02-01,111.5,1.21
CD65,2020-11-01,155.6,1.91
CD137,2016-06-01,136.9,0.44
CD65,2014-11-01,109.6,0.89
CD64,2014-06-01,151.3,1.92
CD58,2018-10-01,112.3,0.37
CD18,2016-01-01,126.4,2.0
CD14,2015-11-01,103.2,0.15
CD119,2016-06-01,95.9,0.41
CD78,2012-12-01,98.7,0.93
CD125,2014-06-01,136.4,0.32
CD7,2016-04-01,151.4,1.64
CD124,2015-08-01,119.2,1.33
CD27,2020-05-01,93.5,1.1
CD98,2017-02-01,115.3,1.66
CD100,2014-01-01,155.9,1.52
CD92,2013-01-01,160.9,0.46
CD55,2012-12-01,118.7,0.63
CD111,2014-06-01,106.9,1.89
CD128,2018-11-01,160.4,0.43
CD114,2017-04-01,108.4,1.89
CD25,2014-11-01,116.9,1.96
CD127,2015-06-01,113.3,0.8
CD12,2016-06-01,105.7,1.64
CD49,2014-09-01,135.3,1.28
CD50,2016-07-01,150.3,0.38
CD3,2020-10-01,133.8,0.66
CD136,2018-04-01,139.0,1.46
CD112,2016-12-01,152.7,0.67
CD100,2018-12-01,155.5,0.76
CD65,2012-09-01,139.4,1.17
CD31,2015-01-01,94.8,0.65
CD29,2018-05-01,109.3,1.19
CD128,2017-08-01,142.8,0.39
CD42,2020-04-01,122.5,1.48
CD4,2020-06-01,92.7,1.11
CD32,2014-12-01,161.4,0.04
CD55,2015-06-01,143.1,0.19
CD82,2012-12-01,142.0,0.29
CD121,2014-06-01,95.3,0.52
CD134,2019-01-01,134.3,0.92
CD118,2016-01-01,131.5,1.95
CD98,2018-11-01,158.9,0.02
CD120,2018-13-01,114.1,1.6
CD113,2017-08-01,159.2,1.92
CD140,2017-02-01,98.4,0.49
CD52,2015-07-01,125.1,0.48
CD22,2014-06-01,141.2,0.53
CD54,2018-09-01,154.9,0.04
CD66,2018-13-01,126.3,0.57
CD72,2017-02-01,125.5,0.92
CD25,2017-08-01,111.3,0.19
CD46,2018-04-01,101.4,0.64
CD42,2016-10-01,155.1,1.32
CD110,2016-12-01,102.8,1.24
CD3,2017-12-01,139.1,0.44
CD128,2013-01-01,161.4,1.46
CD39,2012-04-01,92.5,0.41
CD82,2017-13-01,155.5,0.74
CD114,2016-10-01,157.9,1.25
CD82,2017-12-01,118.9,1.19
CD93,2020-04-01,145.3,0.85
CD66,2017-13-01,140.9,1.08
CD71,2016-13-01,105.4,0.33
CD13,2016-04-01,118.9,0.23
CD102,2020-11-01,136.3,1.98
CD117,2018-06-01,150.0,1.9
CD99,2018-10-01,143.8,1.3
CD8,2016-08-01,140.9,1.09
CD30,2020-10-01,127.3,0.86
CD111,2012-06-01,110.7,1.55
CD78,2016-07-01,96.9,1.15
CD62,2018-06-01,112.9,0.44
CD84,2018-08-01,147.0,1.71
CD110,2016-07-01,143.3,1.55
CD139,2020-09-01,103.8,0.97
CD80,2020-11-01,150.5,1.96
CD71,2015-09-01,99.2,1.85
CD19,2016-06-01,124.9,0.67
CD76,2012-13-01,139.9,1.25
CD136,2020-12-01,141.0,1.95
CD84,2017-02-01,90.6,0.03
CD39,2016-04-01,127.9,1.66
CD1,2016-05-01,159.7,0.9
CD32,2014-09-01,127.6,0.19
CD69,2019-09-01,120.0,0.76
CD136,2015-01-01,114.6,0.22
CD115,2014-06-01,111.1,1.27
CD53,2018-13-01,146.0,0.26
CD109,2016-02-01,113.2,1.69
CD16,2019-07-01,105.4,0.03
CD103,2016-07-01,140.2,0.13
CD109,2018-06-01,93.0,1.7
CD128,2018-09-01,102.1,0.05
CD95,2018-05-01,106.7,0.29
CD123,2016-06-01,117.5,1.98
CD129,2020-06-01,122.0,0.04
CD7,2015-08-01,147.4,1.53
CD124,2012-13-01,114.2,0.55
CD131,2020-06-01,125.9,0.2
CD7,2012-12-01,104.2,1.8
CD65,2019-07-01,122.3,0.29
CD103,2014-07-01,108.5,1.85
CD90,2019-13-01,132.4,0.74
CD100,2015-02-01,102.3,0.77
CD20,2017-10-01,122.0,0.85
CD64,2015-07-01,133.8,1.54
CD18,2020-01-01,146.2,1.02
CD104,2018-04-01,117.6,1.33
CD17,2015-09-01,95.4,0.77
CD142,2019-05-01,143.0,1.47
CD85,2019-09-01,135.6,0.38
CD14,2017-09-01,128.8,1.6
CD140,2015-09-01,142.9,0.96
CD93,2017-02-01,115.8,1.99
CD134,2015-13-01,134.3,1.58
CD60,2015-02-01,156.7,1.38
CD116,2016-09-01,131.6,0.38
CD66,2017-11-01,140.0,0.93
CD113,2017-13-01,105.7,1.01
CD9,2019-11-01,149.6,0.04
CD38,2020-01-01,138.2,1.61
CD16,2020-12-01,158.4,0.6
CD118,2020-05-01,119.8,0.91
CD63,2014-10-01,113.0,0.27
CD75,2015-02-01,155.1,1.38
CD133,2012-09-01,127.1,1.06
CD124,2020-05-01,135.9,0.71
CD28,2012-04-01,148.9,0.15
CD51,2020-09-01,150.6,1.77
CD104,2016-04-01,135.2,0.76
CD81,2017-01-01,93.1,1.0
CD57,2017-04-01,114.8,0.69
CD101,2015-04-01,128.5,0.84
CD104,2020-06-01,106.7,1.92
CD83,2017-04-01,151.8,0.04
CD102,2018-06-01,137.1,0.86
CD42,2020-04-01,138.1,1.37
CD57,2012-05-01,153.8,0.31
CD77,2017-11-01,92.1,1.63
CD114,2020-01-01,120.4,0.49
CD34,2019-11-01,149.1,1.48
CD52,2017-04-01,128.8,1.48
CD85,2017-05-01,130.0,1.44
CD114,2016-10-01,155.9,1.53
CD89,2012-10-01,155.7,1.08
CD103,2018-09-01,136.1,1.79
CD86,2018-07-01,105.6,0.24
CD131,2017-05-01,147.0,0.94
CD53,2017-09-01,120.9,1.03
CD58,2015-11-01,160.5,0.97
CD40,2018-04-01,139.7,0.42
CD29,2012-05-01,119.9,1.98
CD136,2012-08-01,151.9,1.73
CD44,2020-11-01,123.2,0.18
CD15,2020-07-01,101.0,0.3
CD50,2018-11-01,150.4,1.14
CD133,2019-09-01,114.7,1.85
CD101,2014-10-01,138.3,0.17
CD14,2012-05-01,105.7,1.65
CD13,2017-11-01,92.0,0.58
CD107,2020-04-01,145.9,1.53
CD55,2012-04-01,110.7,0.3
CD29,2018-08-01,141.8,0.57
CD12,2019-11-01,108.0,0.74
CD57,2015-05-01,104.5,1.19
CD87,2015-05-01,125.9,1.28
CD8,2020-02-01,101.3,0.52
CD77,2017-07-01,156.4,0.41
CD21,2014-02-01,160.4,1.51
CD116,2016-12-01,111.4,0.99
CD5,2016-07-01,102.3,0.67
CD124,2014-04-01,98.3,1.33
CD71,2012-05-01,156.2,1.01
CD105,2020-01-01,149.5,0.01
CD24,2020-02-01,101.3,0.37
CD141,2014-04-01,115.0,0.96
CD65,2018-08-01,92.4,1.46
CD28,2019-08-01,135.5,1.96
CD115,2012-09-01,151.5,0.69
CD113,2013-02-01,161.4,1.24
CD132,2019-09-01,136.0,0.62
CD6,2018-09-01,119.9,0.13
CD23,2016-12-01,133.5,1.35
CD7,2017-12-01,144.2,0.05
CD39,2016-08-01,162.0,0.27
CD1,2014-05-01,93.9,1.3
CD102,2017-04-01,148.5,0.89
CD52,2014-05-01,101.0,1.43
