Month-year,CommodityID,Production weight (in million tonnes),Labour_availability,Govt_policy_change,Demand,Cost of production,Climatic factor 1,Climatic factor 2,Maximum price per kg,Minimum support price (in Rs./Quintal)
2014-02-01,CD24,72.72,Abundant,No,Very-low,29722.0,1,1,2209.0,1606
2017-03-01,CD90,24.57,Moderate,Yes,Low,79120.0,0,1,1180.0,3157
2020-09-01,CD98,4.0,Abundant,Yes,Long-run,63246.0,0,1,1739.0,4444
2017-05-01,CD12,98.74,Low,Yes,High,38238.0,1,0,5416.0,6649
2017-06-01,CD65,7.74,Moderate,No,Low,24900.0,0,1,4743.0,5455
2020-09-01,CD55,13.99,Low,No,High,89187.0,1,1,5042.0,3287
2012-09-01,CD104,94.04,Moderate,No,Low,68640.0,0,0,890.0,5061
2016-04-01,CD117,5.43,Moderate,No,Low,71123.0,0,1,4958.0,3358
2014-10-01,CD79,79.12,Moderate,No,High,27327.0,0,1,3069.0,3214
2013-02-01,CD121,39.43,Abundant,No,Long-run,65243.0,0,1,95.0,3687
2013-02-01,CD70,77.49,Abundant,Yes,Short-run,35145.0,0,1,2872.0,6219
2019-03-01,CD108,76.64,Moderate,Yes,Short-run,72677.0,0,1,4294.0,1926
2013-04-01,CD1,94.87,Abundant,No,Long-run,57959.0,0,0,394.0,7881
2019-11-01,CD79,53.83,Abundant,No,High,33919.0,0,0,2688.0,8364
2019-08-01,CD97,8.44,Low,Yes,Very-low,29632.0,1,0,1594.0,6852
2018-07-01,CD68,32.94,Abundant,Yes,Very-low,62136.0,1,1,428.0,4805
2016-08-01,CD41,25.71,Low,Yes,Long-run,92553.0,0,1,4140.0,7415
2019-10-01,CD57,91.89,Moderate,No,Very-low,90804.0,1,1,3635.0,3064
2020-02-01,CD135,98.32,Abundant,No,Very-low,74238.0,1,0,1412.0,4185
2014-07-01,CD116,3.98,Low,No,Long-run,18678.0,1,0,4629.0,1822
2016-12-01,CD66,13.37,Low,No,Long-run,65677.0,0,1,3174.0,5354
2020-07-01,CD58,60.02,Low,Yes,Short-run,36865.0,0,1,3442.0,2773
2013-12-01,CD125,90.48,Low,No,High,51837.0,0,0,2984.0,4053
2014-10-01,CD32,4.33,Low,Yes,Short-run,24216.0,0,0,5497.0,3783
2015-04-01,CD132,61.35,Moderate,Yes,Long-run,8547.0,1,0,3312.0,5702
2015-09-01,CD117,99.98,Abundant,Yes,Very-low,55563.0,1,0,5342.0,7169
2020-12-01,CD3,75.85,Moderate,Yes,High,57431.0,0,0,2829.0,5825
2015-01-01,CD39,96.48,Moderate,No,High,47246.0,0,1,1261.0,1654
2018-03-01,CD77,18.24,Moderate,No,Low,65156.0,0,0,3524.0,3992
2015-04-01,CD47,75.58,Moderate,No,High,28534.0,1,1,3150.0,3607
2014-11-01,CD12,92.0,Abundant,No,High,4276.0,1,1,1939.0,6160
2020-09-01,CD58,88.93,Moderate,Yes,Long-run,69747.0,0,0,4826.0,8542
2018-12-01,CD21,14.93,Low,Yes,Long-run,41689.0,0,1,2584.0,3302
2013-05-01,CD62,26.15,Moderate,Yes,Long-run,45237.0,1,0,526.0,2635
2013-07-01,CD115,89.97,Moderate,Yes,Short-run,9958.0,0,1,325.0,6631
2014-09-01,CD55,91.06,Moderate,No,Very-low,81128.0,0,0,3960.0,6962
2018-07-01,CD37,76.97,Abundant,Yes,Short-run,81015.0,0,0,1878.0,1472
2020-08-01,CD43,80.34,Low,No,Long-run,88108.0,1,0,1508.0,4713
2016-01-01,CD41,58.03,Abundant,No,Short-run,81403.0,1,1,5523.0,7274
2019-07-01,CD95,43.52,Abundant,No,Low,16407.0,1,0,526.0,1462
2016-10-01,CD43,74.21,Moderate,Yes,Low,14077.0,1,1,942.0,3048
2013-10-01,CD38,8.44,Abundant,Yes,High,78713.0,1,1,2912.0,3144
2016-06-01,CD72,43.57,Abundant,No,High,69048.0,1,1,3356.0,2529
2015-02-01,CD65,4.24,Moderate,No,Short-run,36549.0,1,0,2481.0,5962
2018-02-01,CD123,66.71,Abundant,Yes,High,23137.0,0,1,4674.0,8147
2019-08-01,CD123,4.04,Moderate,No,High,40236.0,0,1,3389.0,3819
2015-11-01,CD26,53.42,Abundant,Yes,Low,26612.0,1,1,3009.0,4847
2018-12-01,CD115,69.32,Abundant,Yes,Low,21667.0,0,0,779.0,6382
2012-02-01,CD115,82.64,Moderate,No,Low,55301.0,0,1,1678.0,5866
2016-09-01,CD9,59.78,Moderate,Yes,Very-low,9595.0,1,1,5248.0,3510
2020-11-01,CD138,24.09,Abundant,No,Very-low,3091.0,1,0,3639.0,2313
2014-01-01,CD82,18.09,Moderate,No,Short-run,36378.0,1,1,5088.0,6735
2016-11-01,CD14,29.66,Abundant,No,Low,35448.0,1,0,2550.0,5841
2017-12-01,CD104,2.35,Moderate,No,High,13203.0,1,0,4217.0,8088
2015-11-01,CD19,4.3,Moderate,No,Long-run,73236.0,0,0,1929.0,1756
2018-08-01,CD99,35.99,Low,No,Long-run,66352.0,1,1,5559.0,3753
2013-10-01,CD78,70.47,Moderate,Yes,Short-run,37444.0,1,0,2243.0,3381
2020-03-01,CD45,39.47,Moderate,Yes,Low,24746.0,0,0,2496.0,6702
2013-10-01,CD7,37.49,Moderate,No,Low,31721.0,1,0,3704.0,7007
2019-08-01,CD6,44.54,Low,No,High,23514.0,1,0,3668.0,5232
2012-12-01,CD111,95.83,Abundant,Yes,Very-low,31453.0,1,1,3927.0,4770
2017-07-01,CD67,73.38,Abundant,Yes,High,68324.0,1,1,241.0,2455
2019-01-01,CD139,70.79,Low,Yes,Low,770.0,1,1,3158.0,1536
2013-08-01,CD120,13.03,Abundant,Yes,Low,76089.0,1,0,4597.0,7661
2020-03-01,CD30,38.38,Low,No,Short-run,72973.0,1,1,2297.0,7186
2012-11-01,CD34,45.18,Abundant,No,Long-run,45433.0,0,0,5559.0,8697
2014-10-01,CD32,83.58,Low,Yes,Low,16282.0,0,1,3951.0,1950
2020-12-01,CD113,49.48,Low,No,Short-run,85131.0,0,0,302.0,4863
2013-12-01,CD74,11.4,Low,Yes,Short-run,82587.0,0,1,2223.0,3829
2014-05-01,CD93,24.29,Low,Yes,High,59343.0,0,0,3261.0,6431
2012-09-01,CD84,81.12,Low,Yes,Short-run,79028.0,1,1,3663.0,2744
2014-02-01,CD9,78.28,Low,No,Short-run,40570.0,0,1,2518.0,5641
2018-03-01,CD108,76.66,Low,No,Long-run,11797.0,0,0,679.0,7653
2017-02-01,CD31,80.05,Low,No,Very-low,65011.0,0,0,1809.0,4688
2020-07-01,CD95,92.96,Moderate,Yes,Low,32030.0,0,1,2771.0,5504
2012-05-01,CD49,93.56,Low,No,High,91216.0,0,0,1206.0,7049
2016-03-01,CD27,64.32,Low,No,Very-low,24753.0,0,0,5186.0,6160
2018-10-01,CD80,60.99,Low,Yes,Long-run,2191.0,1,1,645.0,4868
2015-10-01,CD11,34.15,Abundant,Yes,Low,43227.0,1,0,1534.0,7089
2015-11-01,CD84,44.71,Moderate,No,High,21338.0,1,1,149.0,5065
2014-08-01,CD74,31.25,Moderate,Yes,Low,73833.0,1,1,1800.0,8243
2014-04-01,CD75,34.09,Low,Yes,Low,22584.0,0,1,613.0,3225
2015-04-01,CD93,28.84,Low,Yes,High,41062.0,0,1,1301.0,6289
2018-02-01,CD50,63.82,Abundant,Yes,Low,30199.0,1,0,3212.0,5358
2019-07-01,CD69,89.29,Moderate,No,Short-run,13548.0,1,0,3175.0,7662
2018-07-01,CD3,31.17,Abundant,Yes,Low,59350.0,1,1,1415.0,6641
2018-07-01,CD59,71.33,Moderate,No,Short-run,46643.0,1,0,654.0,8643
2012-06-01,CD27,96.8,Abundant,Yes,Long-run,92311.0,1,1,4963.0,2818
2013-08-01,CD130,56.37,Moderate,No,Very-low,88655.0,0,1,471.0,4392
2019-10-01,CD71,80.08,Low,Yes,Short-run,69844.0,0,1,3532.0,1428
2013-03-01,CD16,7.05,Low,Yes,Very-low,34403.0,0,1,1809.0,3632
2012-01-01,CD19,76.07,Moderate,Yes,High,2718.0,0,0,4886.0,7721
2013-12-01,CD4,15.83,Low,No,Short-run,18681.0,0,0,4668.0,8356
2013-12-01,CD24,14.78,Abundant,Yes,Short-run,67543.0,1,1,1434.0,2866
2016-06-01,CD6,2.96,Moderate,No,Long-run,66531.0,1,1,5081.0,3070
2014-02-01,CD88,78.85,Abundant,Yes,Short-run,10911.0,1,0,1727.0,2199
2012-01-01,CD41,52.19,Abundant,Yes,Very-low,70527.0,1,0,2212.0,3365
2018-08-01,CD61,64.01,Abundant,No,Short-run,78822.0,1,1,4213.0,7806
2012-05-01,CD29,9.56,Abundant,Yes,Short-run,30912.0,1,1,1614.0,2075
2013-11-01,CD117,79.66,Abundant,Yes,Low,81161.0,0,0,4415.0,7872
2020-12-01,CD14,59.89,Abundant,No,Very-low,18883.0,0,1,2589.0,3515
2016-08-01,CD74,24.39,Abundant,Yes,Low,44505.0,1,0,4406.0,5418
2017-01-01,CD127,73.61,Low,No,Low,4173.0,0,1,2278.0,7781
2016-09-01,CD95,91.52,Moderate,Yes,Short-run,42733.0,1,0,4641.0,5044
2012-06-01,CD75,29.2,Abundant,No,Long-run,43585.0,0,1,2621.0,4051
2012-03-01,CD110,83.12,Moderate,No,Long-run,87207.0,0,0,1336.0,7944
2016-10-01,CD45,89.75,Abundant,Yes,High,91056.0,0,0,3543.0,2459
2018-12-01,CD90,20.17,Abundant,No,High,70596.0,1,0,759.0,1956
2018-08-01,CD71,0.51,Low,No,High,82359.0,1,1,2345.0,2882
2016-01-01,CD117,72.21,Abundant,No,Long-run,59760.0,0,0,2610.0,6766
2014-05-01,CD124,33.51,Low,No,Low,63194.0,0,0,1135.0,4980
2018-02-01,CD104,7.64,Abundant,No,Short-run,38665.0,0,0,3054.0,1944
2020-12-01,CD94,16.08,Low,No,Long-run,43546.0,1,0,5416.0,1484
2016-04-01,CD141,92.22,Moderate,Yes,Short-run,1210.0,1,1,2397.0,5987
2020-04-01,CD124,17.65,Abundant,No,Low,49617.0,1,1,269.0,6128
2017-05-01,CD91,65.89,Abundant,Yes,Very-low,6438.0,1,1,5027.0,4805
2016-01-01,CD53,11.25,Moderate,Yes,Short-run,785.0,0,1,4747.0,2504
2012-06-01,CD20,65.57,Low,Yes,Very-low,56334.0,1,1,4327.0,5897
2019-06-01,CD35,61.64,Moderate,No,Very-low,64366.0,0,1,2388.0,2467
2019-09-01,CD18,39.41,Abundant,No,Short-run,53080.0,0,1,666.0,5131
2016-08-01,CD20,69.42,Abundant,Yes,Short-run,39865.0,0,1,1989.0,5132
2015-06-01,CD108,97.68,Low,No,High,91206.0,0,1,2857.0,7378
2019-04-01,CD5,57.63,Low,Yes,Short-run,946.0,0,1,206.0,7289
2020-03-01,CD86,98.96,Moderate,No,Short-run,42139.0,0,0,5289.0,4018
2019-05-01,CD120,46.09,Moderate,No,Low,69926.0,0,1,2898.0,5334
2014-11-01,CD100,86.28,Moderate,No,Short-run,67401.0,0,1,3608.0,5062
2014-11-01,CD43,89.79,Abundant,No,Very-low,17835.0,0,1,4793.0,6222
2019-12-01,CD72,23.53,Low,No,Short-run,60859.0,0,0,4616.0,8525
2014-11-01,CD87,52.53,Moderate,No,High,83283.0,1,1,543.0,8510
2017-10-01,CD2,19.96,Moderate,Yes,Very-low,52411.0,0,1,3778.0,6613
2014-12-01,CD118,38.26,Moderate,No,Short-run,84355.0,0,0,1582.0,7806
2015-08-01,CD17,11.91,Low,Yes,Short-run,58111.0,0,1,424.0,2590
2013-11-01,CD38,73.2,Moderate,No,High,76446.0,0,0,2793.0,5104
2015-05-01,CD65,85.59,Abundant,No,Low,11982.0,0,0,3388.0,6082
2012-11-01,CD15,35.92,Abundant,Yes,Short-run,14760.0,0,1,3451.0,3645
2016-07-01,CD127,37.14,Low,No,High,46950.0,1,1,517.0,8306
2017-05-01,CD31,71.56,Moderate,No,Very-low,58856.0,0,0,4649.0,7108
2016-10-01,CD5,35.73,Low,Yes,High,83745.0,1,0,426.0,8597
2016-03-01,CD33,86.34,Low,No,Short-run,85758.0,0,1,332.0,8383
2018-07-01,CD119,56.38,Abundant,Yes,Long-run,44789.0,1,0,5568.0,6124
2012-07-01,CD40,56.7,Abundant,No,Short-run,2904.0,0,0,729.0,2504
2020-02-01,CD125,34.98,Abundant,Yes,Short-run,24608.0,1,1,569.0,8253
2014-07-01,CD115,10.0,Moderate,Yes,Long-run,55608.0,0,0,1794.0,1665
2012-06-01,CD51,34.34,Moderate,No,Long-run,24021.0,0,1,573.0,5011
2016-03-01,CD44,57.86,Abundant,Yes,Very-low,74332.0,0,1,5031.0,3028
2012-06-01,CD23,20.6,Abundant,Yes,Low,57646.0,0,1,5592.0,7850
2020-08-01,CD8,26.03,Abundant,Yes,Long-run,45109.0,1,1,3514.0,4654
2013-11-01,CD115,69.31,Low,No,High,67224.0,1,1,1682.0,2038
2015-09-01,CD103,11.62,Low,Yes,High,32055.0,1,1,5393.0,7058
2016-06-01,CD118,79.05,Low,Yes,Long-run,88493.0,0,1,2817.0,1327
2013-09-01,CD100,26.92,Moderate,Yes,Long-run,88124.0,0,0,4423.0,2820
2014-07-01,CD38,92.02,Abundant,No,High,74338.0,1,1,3682.0,1826
2012-02-01,CD119,40.8,Abundant,No,Low,77039.0,0,0,2407.0,5290
2013-07-01,CD137,20.26,Abundant,No,Very-low,20793.0,1,0,4563.0,4857
2012-05-01,CD134,20.69,Abundant,Yes,Short-run,58859.0,0,1,3458.0,7770
2017-11-01,CD95,11.89,Moderate,Yes,Low,34243.0,1,1,5508.0,4343
2019-08-01,CD23,93.66,Low,No,Long-run,13056.0,1,1,5494.0,4920
2020-08-01,CD56,91.39,Abundant,Yes,Long-run,34190.0,1,1,5582.0,2784
2020-12-01,CD30,45.45,Low,Yes,High,37721.0,0,0,4454.0,3016
2017-05-01,CD1,6.3,Low,No,Very-low,41825.0,1,0,2393.0,4787
2016-01-01,CD52,64.46,Abundant,Yes,Long-run,83228.0,1,1,4772.0,4690
2015-01-01,CD62,2.06,Moderate,No,Short-run,42099.0,1,0,2734.0,5596
2014-08-01,CD43,53.67,Low,No,Long-run,59416.0,1,1,1632.0,6311
2012-04-01,CD138,56.74,Abundant,Yes,Short-run,56282.0,0,0,5261.0,8965
2013-02-01,CD86,7.29,Abundant,Yes,High,79674.0,0,0,4235.0,8456
2020-06-01,CD55,48.92,Abundant,No,Very-low,58635.0,0,1,4784.0,3010
2017-10-01,CD118,34.07,Abundant,Yes,Long-run,18895.0,1,1,2069.0,8124
2020-11-01,CD107,18.65,Moderate,Yes,Very-low,25178.0,1,0,1048.0,8291
2014-12-01,CD65,84.5,Abundant,No,Long-run,73617.0,1,1,4865.0,4963
2012-12-01,CD13,78.93,Abundant,Yes,Long-run,29264.0,1,1,2135.0,6113
2016-07-01,CD99,50.85,Moderate,No,Very-low,73494.0,1,1,5410.0,2697
2020-09-01,CD130,38.65,Abundant,No,Short-run,86365.0,0,0,944.0,2486
2015-07-01,CD109,58.3,Abundant,No,High,8378.0,1,0,4666.0,7614
2012-02-01,CD104,78.18,Low,Yes,Short-run,66223.0,0,0,349.0,6502
2018-05-01,CD121,84.99,Low,No,High,56239.0,0,0,1818.0,4261
2015-10-01,CD124,51.95,Moderate,No,Very-low,18279.0,1,1,1302.0,3242
2015-05-01,CD76,6.53,Low,Yes,Very-low,86386.0,1,0,1440.0,8367
2012-07-01,CD83,26.95,Moderate,No,High,44934.0,0,1,888.0,5476
2019-08-01,CD134,6.64,Moderate,No,Very-low,26963.0,1,1,4333.0,6926
2016-11-01,CD57,40.99,Moderate,Yes,Very-low,35847.0,1,1,1893.0,5683
2020-10-01,CD48,32.67,Moderate,Yes,High,80394.0,1,0,3744.0,2260
2013-03-01,CD45,8.99,Moderate,No,Low,9178.0,1,0,1791.0,4599
2017-04-01,CD11,25.15,Abundant,No,Low,18477.0,0,0,269.0,2499
2013-07-01,CD22,5.22,Low,No,Short-run,34871.0,1,0,828.0,7603
2012-04-01,CD29,48.9,Abundant,No,High,16895.0,1,0,3118.0,1387
2017-10-01,CD85,64.18,Moderate,No,Low,49063.0,0,1,3896.0,8447
2019-12-01,CD86,99.85,Moderate,No,High,33659.0,1,1,3356.0,4783
2018-03-01,CD24,11.32,Low,No,High,10738.0,0,1,3557.0,7758
2015-08-01,CD108,46.39,Abundant,No,Low,1927.0,1,1,4791.0,8989
2016-05-01,CD47,90.72,Abundant,No,High,54803.0,1,1,4261.0,3051
2019-11-01,CD24,44.82,Moderate,Yes,Low,53855.0,0,0,4454.0,8028
2013-09-01,CD132,74.13,Abundant,No,High,1916.0,1,1,1769.0,2207
2014-09-01,CD50,53.25,Low,No,High,47463.0,1,1,3726.0,1556
2013-12-01,CD53,28.67,Abundant,Yes,Long-run,16807.0,0,1,3409.0,2607
2016-04-01,CD81,81.88,Low,Yes,High,28421.0,1,1,4125.0,3748
2014-05-01,CD121,17.47,Low,No,High,59644.0,1,1,2513.0,7684
2020-09-01,CD106,84.98,Moderate,No,High,22074.0,0,0,2236.0,7789
2014-11-01,CD1,44.94,Moderate,Yes,Very-low,76989.0,1,0,341.0,4448
2014-12-01,CD74,80.17,Low,Yes,Low,18193.0,1,1,2617.0,4494
2019-10-01,CD38,58.5,Abundant,No,Long-run,25265.0,0,0,3263.0,1440
2012-04-01,CD70,62.8,Moderate,Yes,Short-run,42911.0,1,1,5442.0,5201
2016-12-01,CD102,61.18,Moderate,Yes,Short-run,22205.0,0,1,4871.0,2040
2017-09-01,CD117,17.03,Moderate,Yes,High,49769.0,1,0,3398.0,2966
2014-11-01,CD54,77.34,Abundant,No,Short-run,66173.0,1,0,3037.0,6944
2013-02-01,CD139,37.44,Abundant,No,Very-low,26635.0,1,1,2926.0,4421
2012-05-01,CD35,32.08,Low,No,Long-run,7295.0,0,0,4388.0,4699
2019-04-01,CD18,33.7,Moderate,No,Very-low,42331.0,0,1,2054.0,5594
2019-07-01,CD29,45.89,Moderate,No,Very-low,9192.0,1,1,3628.0,5202
2015-09-01,CD95,71.22,Low,Yes,Low,59241.0,1,0,4915.0,6794
2014-04-01,CD4,45.66,Abundant,Yes,Very-low,29538.0,0,1,3668.0,6724
2015-01-01,CD140,86.9,Low,Yes,High,92024.0,1,0,511.0,1344
2012-09-01,CD16,43.21,Moderate,Yes,High,31088.0,1,1,378.0,7859
2012-03-01,CD66,70.72,Moderate,No,High,30666.0,1,0,4282.0,8686
2017-09-01,CD4,28.56,Moderate,No,Short-run,28093.0,0,1,5049.0,7528
2013-06-01,CD132,48.24,Low,Yes,Long-run,85768.0,1,1,71.0,4541
2015-07-01,CD65,68.72,Low,No,Short-run,25995.0,1,1,3240.0,4068
2019-01-01,CD29,17.95,Low,No,High,90496.0,1,1,5433.0,8496
2013-10-01,CD27,72.44,Abundant,No,High,72011.0,0,1,154.0,5381
2014-05-01,CD140,39.02,Abundant,No,Very-low,81867.0,1,0,1676.0,2167
2014-03-01,CD53,14.35,Moderate,No,Short-run,72757.0,1,1,1283.0,3480
2015-06-01,CD19,27.55,Low,Yes,Low,31823.0,1,1,5233.0,7054
2014-09-01,CD3,39.05,Low,No,Low,90307.0,0,1,2059.0,3108
2015-02-01,CD78,41.86,Abundant,No,Long-run,11074.0,1,0,2610.0,4625
2012-08-01,CD105,59.7,Moderate,No,Short-run,20311.0,1,0,3364.0,7005
2012-09-01,CD22,69.85,Low,No,Short-run,80578.0,0,0,5240.0,2939
2020-08-01,CD30,99.69,Low,No,Long-run,85588.0,1,1,310.0,1761
2017-01-01,CD101,14.72,Abundant,Yes,Short-run,60871.0,1,0,4977.0,4882
2014-07-01,CD94,87.93,Abundant,No,Long-run,79352.0,1,1,562.0,7946
2015-05-01,CD112,94.97,Low,Yes,Short-run,50191.0,1,0,3036.0,3684
2019-08-01,CD127,82.79,Low,Yes,High,66989.0,1,0,1583.0,8555
2015-08-01,CD83,2.48,Abundant,Yes,Very-low,48446.0,0,0,1793.0,7967
2019-02-01,CD74,73.32,Moderate,Yes,Very-low,76498.0,1,1,3841.0,7476
2017-02-01,CD42,39.72,Moderate,No,Short-run,36868.0,0,0,5171.0,7927
2019-10-01,CD43,38.25,Abundant,Yes,Low,3802.0,0,1,4671.0,3831
2012-04-01,CD116,40.18,Moderate,No,Very-low,64864.0,0,0,3702.0,1709
2017-09-01,CD119,8.41,Moderate,No,High,64559.0,0,0,3203.0,3056
2012-02-01,CD72,10.15,Low,No,High,62501.0,0,0,878.0,5770
2018-01-01,CD105,4.83,Abundant,No,Low,17895.0,0,0,5568.0,3861
2020-11-01,CD122,30.02,Low,Yes,Low,5339.0,0,1,115.0,5437
2013-08-01,CD46,5.02,Low,Yes,Low,48938.0,0,0,4167.0,3379
2015-12-01,CD104,84.8,Low,Yes,High,83664.0,0,1,3282.0,1784
2017-08-01,CD127,24.21,Abundant,No,Low,35772.0,0,1,1963.0,6238
2013-06-01,CD31,75.74,Low,No,Low,63865.0,1,0,4806.0,4111
